index,0.5,0.0,-0.5,-1.0,-1.5,-2.0
a0,0.01505308,0.00587073,0.00948383,0.0,0.0,0.0
a1,-0.77462862,-0.29293182,-0.4890415,0.0,0.0,0.0
a2,17.63058349,6.43196247,11.16247655,0.0,0.0,0.0
a3,-233.41086803,-81.61771446,-148.33446355,0.0,0.0,0.0
a4,1987.74770269,660.5901721,1269.18417297,-0.05106746,-0.06885365,-0.02960199
a5,-11361.05372714,-3547.96526231,-7295.5448372,1.52851757,2.18061064,0.87673532
a6,44068.20579236,12732.81837733,28488.99200407,-18.29087921,-27.98767475,-10.17585211
a7,-114375.05047266,-29908.73779307,-74511.24562758,110.92811731,185.55776687,57.41030576
a8,189826.55875498,43487.34435063,124737.0247195,-353.1732665,-665.48458463,-152.89358382
a9,-181730.14092028,-34674.15892247,-120568.43475455,531.25760466,1202.05322172,119.89970405
a10,76219.94029561,11161.54378289,51132.1461336,-216.52730309,-792.04172421,150.81752646
