Index,[Fe/H]=0.5,[Fe/H]=0.0,[Fe/H]=-0.5,[Fe/H]=-1.0,[Fe/H]=-1.5,[Fe/H]=-2.0
a0,-0.00033376,0.00021475,0.00188915,0.00354952,0.00174741,0.00218926
a1,0.01827828,-0.00945259,-0.09949342,-0.19016102,-0.09947052,-0.12474807
a2,-0.45143503,0.17218316,2.32489589,4.53436414,2.52500544,3.1833658
a3,6.61156201,-1.60065574,-31.7161963,-63.3401561,-37.61764641,-47.89050841
a4,-63.4255508,6.66348056,279.48801683,573.70234759,364.00363456,470.13555217
a5,414.98428272,10.29389514,-1660.85742474,-3518.51922185,-2388.63185065,-3144.87126191
a6,-1867.55806839,-269.14303331,6734.2877774,14788.58755797,10756.03406044,14505.77548413
a7,5681.79655659,1426.8125487,-18381.56272643,-42035.91711737,-32789.35957674,-45514.22524793
a8,-11130.36024695,-3844.46767634,32303.30760547,77287.9185505,64704.57659875,92879.84961256
a9,12612.8573577,5387.15162413,-33001.29006476,-82968.97949706,-74584.02232405,-111212.72534535
a10,-6223.91354511,-3078.76507689,14918.63285724,39511.68733708,38144.6038874,59313.60291222
